#JD Flux Flux_err
2458341.3704 0.99908640 0.00045
2458341.3912 1.0000233 0.00045
2458341.4120 0.99977396 0.00045
2458341.4329 0.99967769 0.00045
2458341.4537 0.99973674 0.00045
2458341.4745 1.0004949 0.00045
2458341.4954 1.0004742 0.00045
2458341.5162 1.0001999 0.00045
2458341.5370 1.0002241 0.00045
2458341.5579 1.0003494 0.00045
2458341.5787 1.0005721 0.00045
2458341.5995 1.0014415 0.00045
2458341.6204 0.99960830 0.00045
2458341.6412 1.0003549 0.00045
2458341.6620 1.0000837 0.00045
2458341.6829 0.99983538 0.00045
2458341.7245 0.99979518 0.00045
2458341.7454 0.99998929 0.00045
2458341.7662 1.0001354 0.00045
2458341.7870 1.0005576 0.00045
2458341.8079 1.0000645 0.00045
2458341.8287 1.0007586 0.00045
2458341.8495 0.99965145 0.00045
2458341.8704 0.99985971 0.00045
2458341.8912 0.99993760 0.00045
2458341.9120 0.99983471 0.00045
2458341.9329 1.0003629 0.00045
2458341.9537 0.99994892 0.00045
2458341.9745 0.99998638 0.00045
2458341.9954 1.0002550 0.00045
2458342.0162 0.99880975 0.00045
2458342.0370 1.0002185 0.00045
2458342.0579 0.99959879 0.00045
2458342.0995 0.99868697 0.00045
2458342.1204 1.0000399 0.00045
2458342.1412 0.99988416 0.00045
2458342.1620 0.99975230 0.00045
2458342.2245 0.99998058 0.00045
2458342.2454 1.0001925 0.00045
2458342.2662 1.0005531 0.00045
2458342.2870 1.0001381 0.00045
2458342.3079 0.99999460 0.00045
2458342.3287 0.99989928 0.00045
2458342.3495 0.99926970 0.00045
2458342.3704 1.0007194 0.00045
2458342.3912 1.0007368 0.00045
2458342.4120 1.0008688 0.00045
2458342.4329 1.0006615 0.00045
2458342.4537 1.0004183 0.00045
2458342.4745 0.99995805 0.00045
2458342.4954 1.0000120 0.00045
2458342.5162 0.99928751 0.00045
2458342.5370 1.0001303 0.00045
2458342.5579 0.99955088 0.00045
2458342.5787 0.99973757 0.00045
2458342.5995 0.99983029 0.00045
2458342.6204 1.0001966 0.00045
2458342.6412 0.99938200 0.00045
2458342.6620 0.99994819 0.00045
2458342.6829 0.99970740 0.00045
2458342.7037 1.0001310 0.00045
2458342.7245 1.0001969 0.00045
2458342.7454 1.0005238 0.00045
2458342.7662 0.99989831 0.00045
2458342.7870 0.99982289 0.00045
2458342.8079 1.0001826 0.00045
2458342.8287 0.99938990 0.00045
2458342.8495 0.99947993 0.00045
2458342.8704 1.0005144 0.00045
2458342.8912 1.0001751 0.00045
2458342.9120 0.99935754 0.00045
2458342.9329 1.0003835 0.00045
2458342.9537 1.0003633 0.00045
2458342.9745 1.0000416 0.00045
2458342.9954 1.0002650 0.00045
2458343.0162 0.99953983 0.00045
2458343.0370 0.99954610 0.00045
2458343.0579 0.99986843 0.00045
2458343.0787 1.0001518 0.00045
2458343.0995 0.99957809 0.00045
